1,row,3,0.0,4.2288,1,295,586,1.2,22,4.2288,0.8,"",0.0,0.0
2,row,1,0.0,2.48,1,350,1200,1.2,22,2.48,0.8,"",0.0,0.0
3,row,3,0.0,3.6,2,150,600,1.2,22,3.6,0.8,"",0.0,0.0
4,row,3,0.0,2.1264,2,150,293,1.2,22,2.1264,0.8,"",0.0,0.0
5,row,1,0.0,1.8128,2,250,883,1.2,22,1.8128,0.8,"",0.0,0.0
6,row,1,0.0,1.488,2,250,680,1.2,22,1.488,0.8,"",0.0,0.0
7,row,2,0.0,1.792,2,250,310,1.2,22,1.792,0.8,"",0.0,0.0
8,row,2,25.0,35.228,3,410,1220,1.2,22,5.216,0.8,"",0.0,30.012
9,row,2,0.0,0.8,4,100,150,1.2,22,0.8,0.8,"",0.0,0.0
10,row,2,0.0,2.88,4,400,500,1.2,22,2.88,0.8,"",0.0,0.0
11,row,1,0.0,1.6,4,400,600,1.2,22,1.6,0.8,"",0.0,0.0
12,row,3,0.0,2.712,4,110,455,1.2,22,2.712,0.8,"",0.0,0.0
13,row,1,0.0,2.544,4,770,820,1.2,22,2.544,0.8,"",0.0,0.0
14,row,1,0.0,2.8608,4,288,1500,1.2,22,2.8608,0.8,"",0.0,0.0
15,row,1,0.0,0.8,4,500,1500,1.2,20,0.8,0.8,"",0.0,0.0
16,row,1,40.0,6.49024,4,243,460,1.2,22,1.1248,0.8,"",0.0,5.36544
17,row,1,40.0,7.15344,4,243,510,1.2,22,1.2048,0.8,"",0.0,5.94864
18,row,8,0.0,7.5392,5,165,424,1.2,22,7.5392,0.8,"",0.0,0.0
19,row,6,0.0,6.1728,5,200,443,1.2,22,6.1728,0.8,"",0.0,0.0
20,row,2,0.0,3.504,5,200,895,1.2,22,3.504,0.8,"",0.0,0.0
21,row,1,0.0,3.112,5,200,1745,1.2,22,3.112,0.8,"",0.0,0.0
22,row,1,40.0,81.23936,5,910,1762,1.2,22,4.2752,0.8,"",0.0,76.96416
23,row,1,0.0,3.52,6,750,1450,1.2,22,3.52,0.8,"",0.0,0.0
24,row,1,0.0,2.3728,7,413,1070,1.2,22,2.3728,0.8,"",0.0,0.0
25,row,1,0.0,2.3888,7,413,1080,1.2,22,2.3888,0.8,"",0.0,0.0
26,row,1,0.0,3.2,7,500,1500,1.2,22,3.2,0.8,"",0.0,0.0
27,row,1,0.0,2.8784,7,432,1367,1.2,22,2.8784,0.8,"",0.0,0.0
28,row,1,0.0,3.84,8,700,1700,1.2,22,3.84,0.8,"",0.0,0.0
29,row,1,0.0,1.552,9,215,755,1.2,22,1.552,0.8,"",0.0,0.0
30,row,1,0.0,1.12,9,270,430,1.2,22,1.12,0.8,"",0.0,0.0
31,row,4,0.0,3.1232,9,145,343,1.2,22,3.1232,0.8,"",0.0,0.0
32,row,1,25.0,5.6232,9,220,852,1.2,00,0.0,0.8,"",0.0,5.6232
33,row,1,0.0,2.56,10,400,1200,1.2,22,2.56,0.8,"",0.0,0.0
34,row,1,0.0,3.696,11,1500,810,1.2,22,3.696,0.8,"",0.0,0.0
35,row,2,25.0,7.36848,12,258,476,1.2,00,0.0,0.8,"",0.0,7.36848
36,row,2,52.0,23.40864,13,150,1152,1.2,01,1.8432,0.8,"",0.0,21.56544
37,row,4,52.0,11.036032,13,190,218,1.2,01,0.6976,0.8,"",0.0,10.338432
38,row,1,52.0,22.0662,13,575,615,1.2,00,0.0,0.8,"",0.0,22.0662
39,row,3,0.0,3.168,13,260,400,1.2,22,3.168,0.8,"",0.0,0.0
40,row,2,0.0,3.2,13,260,740,1.2,22,3.2,0.8,"",0.0,0.0
41,row,3,0.0,3.648,13,260,500,1.2,22,3.648,0.8,"",0.0,0.0
42,row,6,0.0,5.6832,13,260,332,1.2,22,5.6832,0.8,"",0.0,0.0
43,row,1,0.0,1.28,13,225,575,1.2,22,1.28,0.8,"",0.0,0.0
44,row,1,0.0,3.5872,14,652,1590,1.2,22,3.5872,0.8,"",0.0,0.0
45,row,1,0.0,2.208,14,530,850,1.2,22,2.208,0.8,"",0.0,0.0
46,row,2,0.0,1.9936,15,220,403,1.2,22,1.9936,0.8,"",0.0,0.0
47,row,4,0.0,4.0192,15,220,408,1.2,22,4.0192,0.8,"",0.0,0.0
48,row,4,0.0,6.2528,15,280,697,1.2,22,6.2528,0.8,"",0.0,0.0
49,row,1,0.0,0.976,15,380,1220,1.2,01,0.976,0.8,"",0.0,0.0
50,row,1,0.0,3.04,15,500,1400,1.2,22,3.04,0.8,"",0.0,0.0
51,row,1,0.0,1.888,16,480,700,1.2,22,1.888,0.8,"",0.0,0.0
52,row,2,25.0,10.63572,16,337,526,1.2,00,0.0,0.8,"",0.0,10.63572
53,row,2,0.0,3.5904,17,270,852,1.2,22,3.5904,0.8,"",0.0,0.0
54,row,1,0.0,1.3328,17,280,553,1.2,22,1.3328,0.8,"",0.0,0.0
55,row,1,0.0,1.3488,17,290,553,1.2,22,1.3488,0.8,"",0.0,0.0
56,row,1,0.0,1.6608,17,296,742,1.2,22,1.6608,0.8,"",0.0,0.0
57,row,3,0.0,2.856,17,415,180,1.2,22,2.856,0.8,"",0.0,0.0
58,row,1,25.0,15.0,18,500,1000,1.2,00,0.0,0.8,"",0.0,15.0
59,row,1,0.0,3.36,19,500,1600,1.2,22,3.36,0.8,"",0.0,0.0
60,row,3,0.0,3.72,19,175,600,1.2,22,3.72,0.8,"",0.0,0.0
61,row,3,0.0,2.3424,19,175,313,1.2,22,2.3424,0.8,"",0.0,0.0
62,row,1,0.0,1.3328,20,380,453,1.2,22,1.3328,0.8,"",0.0,0.0
63,row,2,0.0,2.6656,20,380,453,1.2,22,2.6656,0.8,"",0.0,0.0
64,row,4,0.0,4.9408,20,190,582,1.2,22,4.9408,0.8,"",0.0,0.0
65,row,1,0.0,1.3248,20,270,558,1.2,22,1.3248,0.8,"",0.0,0.0
66,row,1,0.0,1.328,20,270,560,1.2,22,1.328,0.8,"",0.0,0.0
67,row,2,0.0,5.5648,20,561,1178,1.2,22,5.5648,0.8,"",0.0,0.0
68,row,2,0.0,3.68,20,550,600,1.2,22,3.68,0.8,"",0.0,0.0
69,row,4,25.0,28.0998,21,233,1005,1.2,00,0.0,0.8,"",0.0,28.0998
70,row,2,0.0,5.536,22,130,1600,1.2,22,5.536,0.8,"",0.0,0.0
71,row,3,0.0,2.4672,22,130,384,1.2,22,2.4672,0.8,"",0.0,0.0
72,row,2,0.0,1.712,22,135,400,1.2,22,1.712,0.8,"",0.0,0.0
73,row,2,0.0,2.976,22,130,800,1.2,22,2.976,0.8,"",0.0,0.0
74,row,1,0.0,1.92,22,500,700,1.2,22,1.92,0.8,"",0.0,0.0
75,row,1,0.0,0.296,22,170,370,1.2,01,0.296,0.8,"",0.0,0.0
76,row,6,25.0,60.588,23,260,1030,1.2,22,12.384,0.8,"",0.0,48.204
77,row,2,0.0,3.1584,24,290,697,1.2,22,3.1584,0.8,"",0.0,0.0
78,row,2,0.0,2.1184,24,290,372,1.2,22,2.1184,0.8,"",0.0,0.0
79,row,1,0.0,2.1072,24,300,1017,1.2,22,2.1072,0.8,"",0.0,0.0
80,row,1,0.0,0.912,24,300,270,1.2,22,0.912,0.8,"",0.0,0.0
81,row,1,0.0,1.7888,24,400,718,1.2,22,1.7888,0.8,"",0.0,0.0
82,row,1,0.0,3.36,24,400,1700,1.2,22,3.36,0.8,"",0.0,0.0
83,row,2,0.0,6.72,25,500,1600,1.2,22,6.72,0.8,"",0.0,0.0
84,row,3,0.0,3.648,26,210,550,1.2,22,3.648,0.8,"",0.0,0.0
85,row,3,0.0,2.3904,26,210,288,1.2,22,2.3904,0.8,"",0.0,0.0
86,row,2,0.0,5.5168,26,556,1168,1.2,22,5.5168,0.8,"",0.0,0.0
87,row,1,0.0,3.36,26,500,1600,1.2,22,3.36,0.8,"",0.0,0.0
